"review_title","review_text","review_star","page"
"







  
  
    Unresponsive right side of the screen. :(
  
","









  
  
    
  So the iPhone did come some scratches but i expected that considering it is a Refurbished phone plus I was gonna put a case on it. For some reason the right side is unresponsive to my touch unless i press very hard. I wasn't gonna return it considering i did like the product but i thought about the problems it'd bring me down the line. I'm kind of sad but I'm just gonna go ahead and return to get a new and unused iPhone. Of course my experience could be different from others.

  
","3.0 out of 5 stars",20
"







  
  
    Plenty of Memory
  
","









  
  
    
  The phone arrived on time and more or less exactly in the condition it said it would be in. Minor wear and tear on the cover, (which I will never see once I bought a case for it). The battery life is really good and the main reason I bought it, it has plenty of memory.

  
","4.0 out of 5 stars",20
"







  
  
    Like brand new
  
","









  
  
    
  Great product no scratches no cracks just like new easily connected to metros phone service had it for about six months now still works great

  
","5.0 out of 5 stars",20
"







  
  
    Very nice phone
  
","









  
  
    
  I was rather leery of buying this phone, am delighted to report that I am extremely pleased with it. Super easy to just switch the SIM card from my old phone to this one, and, presto change-o, a lovely new phone for me. It works perfectly. I am very happy with it.

  
","5.0 out of 5 stars",20
"







  
  
    Finally plenty of storage space for all my apps and then some
  
","









  
  
    
  I don’t have it set for face or finger print reader. I’d rather just have a password. I love having storage space for all my apps I had to give up because older phone had no space and had to keep deleting them until I only had one. I’m still learning what all my phone can do, and haven’t gotten everything setup perfect yet but I’m grateful to have found this phone. I love it. It takes great pictures.

  
","4.0 out of 5 stars",20
"







  
  
    Excellent purchase
  
","









  
  
    
  Everything is basically perfect I really have not bad to say about it I may update if something goes wrong but it doesn’t look that way, super happy

  
","5.0 out of 5 stars",20
"







  
  
    Bad Bluetooth
  
","









  
  
    
  Seemed ok at first but there were issues. The Bluetooth didn’t work. It would turn itself off. I’d turn it back on and it’d turn off right away. It wouldn’t connect to anything. The screen and battery seemed fine. Had to return as I needed it to connect to my car, watch, etc.

  
","3.0 out of 5 stars",20
"







  
  
    Do not stress about the negative reviews.
  
","









  
  
    
  I am SO extremely satisfied with my order from D'Tech. I was really nervous from the reviews that the product would be in questionable shape or even a stolen phone, but it is EVERYTHING it was described as and more! It had basically no cosmetic damage, battery health of 85%, and came with a charger and screen protector. The shipping was also quick as promised. I cannot rave about D'Tech Mobile enough. The price point was exactly what I was looking for and did not break the bank! I will never buy a new phone again...Renewed/refurbished all the way.

  
","5.0 out of 5 stars",20
"







  
  
    READ DESCRIPTION <U+203C><U+FE0F> Headphones is not included
  
","









  
  
    
  Ok so I read the reviews and there so negative and let me tell you I did not wanna buy this phone but my iPhone 6s Plus is slowly breaking down so the phone is almost perfect hear me when I said almost I mean I double checked that it was real or a duped I even ran the IMEI number it’s real only thing that’s messed up is the camera if you do the finger test you’ll find out the camera on the bottom fake other than that I’m not finding many problems also compared to my iPhone6s plus this phone is TINYYY [ Iordered this on the 25 and got in on the 30th and the phone was already with my phone company luck me ] other than that 4stars also I didn’t get a case or screen protector

  
","4.0 out of 5 stars",20
"







  
  
    Great
  
","









  
  
    
  I received phone today & was looking at it for like a minute.. weird part was that phone had camera on top of the screen, and at the bottom was some weird frame with couple holes in it like small buttons.. it took me a minute to realize that they installed protective screen up side down which had black frame. So i had to remove it & install a new one. Other than that everything was perfect (so far)

  
","5.0 out of 5 stars",20
