date_info,name,title,content,rating
Reviewed in India on 18 August 2020,Mukesh Nauhria,Very bad product and no after sales support. Don't waste money,"Writing review after 1 month of use.. Product stopped working after 1 month and no support is available from the seller.. 1. Its a Chinese product. 2. Very bad ear fitting. 3. During workout, band is not stable at all over the neck. 4. Packaging is like Rs100 product at Nehru place.. 5. This is non refundable product, so check this review before you purchase it.. 6. Sounds quality looks ok at present",1.0 out of 5 stars
Reviewed in India on 23 February 2020,Deependu Bag,Seller will not assist for any warranty claim,"I am using this for 5 months.... 1: The built quality of this product feels better than other products in this range.... 2: Sound quality is fine but lack of bass.... 3: Noise cancellation really works in this ear phones but after 4 months of use, Mic has stopped working & seller is not helping me out for warranty claim.... 4: All over it's good but definitely not better than boat of this range...",3.0 out of 5 stars
Reviewed in India on 29 May 2020,BHAN'S,"Great BASS, awesome for listening to songs only. Not great for calls though","This is a beast for Rs 400. For listening to songs only. Nothing I guess comes closer to beat this at such price. Excellent BASS, sound for songs etc is awesome. Stability n comfort is great, and doesn't pain in ears even after using for 4-6hrs continuously.. So the earphones won't fall off.. Wish trebble was balanced. But these days all earphones seem to only care about BASS.. If you are looking to use this for office calls due to wfh, will not suggest this then since the bass is high, many times you won't hear words clearly.. Use something which is more of a sterio or hd or medium bass earphones then",4.0 out of 5 stars
Reviewed in India on 9 July 2020,Divyansh ,Disappointed even for its price,I don't understand why this product has such good reviews. I bought it because of the ratings it has and its the worst. Why ? Because 1. Everything sounds extremely muddy. 2. Base is terrible. 3. It cannot handle lows at all. 4. I do some mobile gaming and this is terrible for that purpose as well because even the crisp sounds such as footsteps and gunfire (in cod mobile game) sounds really low and not crisp at all.. Tl; dr. Don't buy. Especially if you've used JBL tier of earphones.,1.0 out of 5 stars
Reviewed in India on 28 August 2020,Maulik Doshi,Excellent quality Bluetooth earphones,"1. Sound quality : Sound quality is excellent,there is no disturbance from coming voice .One advantage is while roaming or walking the voice will not get cracked,there will not be any noise in background .. 2. Bluetooth : Connects to my phone or laptop flawlessly and very sppedily. 3. Microphone : I am really impressive with this.as I do have to attend online meetings,I require my microphone output to be crystal clear.This is one of the few earphones that fullfilled my need to the full extent.. 4. Battery life : I haven't looked into this,but one thing I noticed that while charging the earphones,one can not use it.. 5. Build quality : Superior build quality",5.0 out of 5 stars
Reviewed in India on 28 July 2020,shrenik,Recieved different product,"I have received a different product the original product has got microphone in right side of the wire where as this one it was not there ,this is a different product not the original the original has the best bass n sound quality pls if u get the product n if there is microphone in right side of the wire then it's an original one n it's the best one",1.0 out of 5 stars
Reviewed in India on 7 October 2020,Kumar,"In this price range, can't get any better. Got what I paid for.","I have been using this since I received the package. The price was high when I bought it, than it is now.. Pros:. -It looks good, very cool look.. -Ergonomic design.. -For the first few days, it worked good, balanced audio output.. -Outstanding Bass[Bass lovers will love it].. -Used during workout sessions without any problem.. -Extra ear cushions of different sizes are given along with the earphone.. -Unique angled 3.5mm jack for better connectivity, its not straight, or 'L' shaped but bent very nicely, hopefully it'll help it last longer.. Cons:. -After 10th day, right ear audio level dropped a bit. I have tested it on several phones and Mp3 players, the right earphone audio level has suddenly dropped a bit.. -Not tangle free wires.. -Warranty Card in the box is useless, it asks you to go to a specific url and enter your earphone details for warranty, but after you enter your details, the page doesn't acknowledges your warranty.. Honestly, I didn't expect any better at this price range. Got what I paid for.",4.0 out of 5 stars
Reviewed in India on 19 August 2019,Kinnari ,Product is of poor quality,The product is not as per the expectations. Not able to hear from left ear plug. The button is not working to play and pause or take calls. Not able to talk on call using the earphones.,1.0 out of 5 stars
Reviewed in India on 20 June 2020,Your shubchintak😁,SECRET TIP BEFORE YOU BUY,"Sound quality - 8/10. I have used much higher priced earphones like around 1500-2000. So, my experience would be according. The sound quality is amazing. I mean I couldn't believe it would be relatable to those expensive earphones. However, note that the bass is not high but the mids and acoustics are perfect. So, to me this is absolutely worth that amount.. Noise cancellation - 9/10. Sometime double tunes but to this price it's foing an amazing job. I just love it.. Bass quality -7/10. The bass was not as expected coz the way these copy words are written it isn't upto the mark. But hold your jabs .. I told that I have used ₹1500-2000 earphones and you can easily get that qualis. How? By just downloading bass booster app.. Believe me, I downloaded 'bass booster' app the the sound quality was comparable to all those expensive earphones!.. Comfort -8/10. The fins which you see would be helpful only when you do some really good running or activities like that. If not if you use the fins while laying then it will hurt. But , if these fins are removed then you have the most comfortable ones.. Nutshell - You can absolutely go ahead and buy them. I also have mi basics and jbl zip 20 . All the three are in the same range. So, the top is Boult and then mi then jbl.. P.s - Bass lovers , download some bass booster app and you are cool to go.",5.0 out of 5 stars
Reviewed in India on 24 February 2021,Nalini Jeswani,THE MOST INCREDIBLE EARPHONES I EVER SEEN😍,"OMG....THE PRODUCT IS REALLY WOW...😍 so firstly if we talk about its sound quality, that is superb and that tooo in just 299/- only..... and the noise cancellation for this product is really very very amazing ....like whether you are in any party or in a messy crowd, it won't let you fell that .. And if we talk about bass quality, its too good ....like it makes any sound sooo clear... ... Also , it has angled attachment which again helps in reducing breakage.. And finally, the colour of the product is sooo pretty and at the same time classy too....i bought their black and blue variant...on which these two color are whirling over the whole wire..... That's why i am in love with these earphones ... #ALL TYM FAVOURITE 😘. so guyzzz i highly recommend you to buy these earphones if you want these astonishing features in an affordable price 😍😍. Thank you BOULT😍 and thank you AMAZON😍",5.0 out of 5 stars
