"review_title","review_text","review_star","page"
"







  
  
    As expected, thanks
  
","









  
  
    
  As expected, thanks

  
","5.0 out of 5 stars",155
"







  
  
    Very poor battery life.
  
","









  
  
    
  Battery life on this Iphone is very poor.  It needs charging every 24 hours with very little use.Very disappointed in the quality of this phone!!!  Would very much like a replacement phoneor at the least replacement battery.

  
","3.0 out of 5 stars",155
"







  
  
    Poor battery life.
  
","









  
  
    
  Battery life is poor not even 3- 4 hours. Dies before evening.Apple refurbished has new battery. This has old battery!

  
","2.0 out of 5 stars",155
"







  
  
    SCAM. DO NOT BUY. Bricked right after personal info was input and they want it back for refund.
  
","









  
  
    
  SCAM!! DO NOT BUY. Bricked as soon as I had entered my information. Completely unresponsive now and they want to receive the phone back with my login information in it.

  
","1.0 out of 5 stars",155
"







  
  
    HAPPY
  
","









  
  
    
  I got this for a gift for my wife. She Loves it!

  
","5.0 out of 5 stars",155
"







  
  
    iPhone 8
  
","









  
  
    
  The battery life was kinda bad but other than that I enjoyed that phone for about a year.

  
","3.0 out of 5 stars",155
"







  
  
    Excellent
  
","









  
  
    
  This phone is like brand new. Really surprised that it already came with a glass screen protector. Really satisfied with my new phone!

  
","5.0 out of 5 stars",190
"







  
  
    <U+0001F44D>
  
","









  
  
    
  <U+0001F44D>

  
","5.0 out of 5 stars",190
"







  
  
    Just like new
  
","









  
  
    
  excellent product, not a single scratch, works perfectly

  
","5.0 out of 5 stars",190
"







  
  
    The product was delivered exactly as promised, on time
  
","









  
  
    
  If I ddidn't know better I would have thought it was brand new, not renewed. No scratches or dents. Bought for Grandsons birthday and he is very excited to own it. Excellent job

  
","5.0 out of 5 stars",190
"







  
  
    Phone works well so far
  
","









  
  
    
  So far Ihavehad my phone2 months and all works well

  
","5.0 out of 5 stars",190
"







  
  
    Good product & price
  
","









  
  
    
  Works good just didn't come with what was listed but they make it right when you call them.  Good price.

  
","4.0 out of 5 stars",190
"







  
  
    Completely satisfied
  
","









  
  
    
  I was hesitant to purchase a phone before seeing it, but I’m very pleased. The phone appears in great condition and works perfectly. The battery life isn’t perfect but that’s to be expected with a previously used phone. Overall great purchase.

  
","5.0 out of 5 stars",190
"







  
  
    Looks new
  
","









  
  
    
  Excellent condition

  
","5.0 out of 5 stars",190
"







  
  
    an upgrade
  
","









  
  
    
  longer battery life. wonderful picture quality.

  
","5.0 out of 5 stars",190
"







  
  
    Slow
  
","









  
  
    
  Came and was very slow.

  
","3.0 out of 5 stars",190
"







  
  
    Worried for Nothing!
  
","









  
  
    
  This was a gift and an upgrade from an iPhone 6. I don’t want to talk about the iPhone tech— go to a apple for that. I want to talk about the fact that it’s a refurbished iPhone for a ridiculous price that had me worried because it seemed toooo cheap. Well, it worked out without any issues. I can vouch for it being unlocked because it’s currently being used in Tokyo on a non-American carrier.

  
","5.0 out of 5 stars",127
"







  
    Vale 100% la pena
  
  
","









  
    
  Super contenta con la compra. El teléfono llego rápido. LO TRAJE A PANAMÁEstado físico: Impecable, ningún rasguño.Bateria: 90% (lo que promete)entrega: rápido, vino super protegido. Estoy super feliz hasta el momento todo bien

  
  
","5.0 out of 5 stars",127
"







  
  
    Terrible Buy
  
","









  
  
    
  I normally do not write reviews. I received this phone yesterday and was returning it right away. I set it up but the calls are not coming in.. really dissapointed.

  
","1.0 out of 5 stars",127
"







  
  
    Worth the money.
  
","









  
  
    
  I don’t usually buy something as a ‘second’ but was very impressed.

  
","5.0 out of 5 stars",127
"







  
  
    Not in good condition
  
","









  
  
    
  The product said excellent condition. But the actual phone is so damaged.

  
","2.0 out of 5 stars",127
"







  
  
    Looks brand new
  
","









  
  
    
  Works like new

  
","5.0 out of 5 stars",127
"







  
  
    FABULOUS phone
  
","









  
  
    
  much better than the 'new' one i was ripped off for from charter/spectrum and didn't cost me 1/5 as much.  possibly the best cell phone i have ever had.  i will definitely purchase from this company again when i upgrade.

  
","5.0 out of 5 stars",127
"







  
  
    iPhone 8
  
","









  
  
    
  Excellent buy. Can’t believe that it’s not brand new. Everything was new about it. I’ve had it for 5 months now and still excellent

  
","5.0 out of 5 stars",127
"







  
  
    Phone works perfect
  
","









  
  
    
  Despite the bad reviews, I purchased this item and I am 100% satisfied with my purchase. The phone arrived in good condition and took just a few moments to set up.

  
","5.0 out of 5 stars",127
"







  
  
    Originated outside of US
  
","









  
  
    
  The phone most likely was originally sold in another country. Some functions follow privacy regulations set in other countries but not in the US. Aside from this being a little annoying the phone works great.

  
","4.0 out of 5 stars",127
"







  
  
    Great Phone
  
","









  
  
    
  I just received it today, and I can barely tell that it’s a used phone. Great camera quality and it works perfect.

  
","5.0 out of 5 stars",154
"







  
    Bien bien
  
  
","









  
    
  Un inconveniente pero todo bien

  
  
","5.0 out of 5 stars",154
"







  
  
    Awesome!!
  
","









  
  
    
  Excellent condition, battery life is great, and it was SUPER easy to transfer everything. And I have straight talk

  
","5.0 out of 5 stars",154
"







  
  
    QA/QC does it exist?
  
","









  
  
    
  iPhone call volume so low that it renders the whole phone useless. Be cautious buying a phone from here it’s a hit or miss deal whether or not it will work.

  
","1.0 out of 5 stars",154
"







  
  
    Renew iphone
  
","









  
  
    
  I am so disappointed about the iphone. The seller described it was a good condition but the back camera shakes and the speaker on left side does not work and even the right side is very bad speaker. Sound is not clear and damaged. I want to send back the iphone but it looks not easy to do that. How can I fix this trouble.

  
","1.0 out of 5 stars",154
"







  
  
    Not good product
  
","









  
  
    
  Not good phone from the vert beginning the battery would not hold a charge had to pay myself to ship phone back would not recommend

  
","1.0 out of 5 stars",154
"







  
  
    Affordable buy
  
","









  
  
    
  I love the camera quality on this phone

  
","5.0 out of 5 stars",154
"







  
  
    Good phone, bad microphone.
  
","









  
  
    
  I was testing out the phone and making sure everything was working and i noticed that the microphone for the phone does not work at all so when i get calls or record videos the microphone does not pick anything up.

  
","4.0 out of 5 stars",154
"







  
  
    Camera shakes
  
","









  
  
    
  Camera lens goes in and out of focus.Waiting to hear back from vender for solutions. Battery seems to drain a little quickly but might be the apps I’m running.

  
","3.0 out of 5 stars",154
"







  
  
    Red is best.
  
","









  
  
    
  Bought this for my mom in March and no issues with powering up, activation, etc. she loves it and worth paying for.

  
","5.0 out of 5 stars",154
"







  
  
    Stolen iPhone!!!!!!
  
","









  
  
    
  Was unable to activate, AT&T reports that the phone was reported as stolen by previous owner............

  
","1.0 out of 5 stars",112
"







  
  
    Arrived quickly. Worked great.
  
","









  
  
    
  Worked great!

  
","5.0 out of 5 stars",112
